Symbol,Company Name,Series,Industry,ISIN Code
ALLDIGI,Alldigi Tech Limited,EQ,21-May-08,INE087B01017
ALLTIME,All Time Plastics Limited,EQ,14-Mar-13,INE106I01010
ALMONDZ,Almondz Global Securities Limited,EQ,04-Jun-21,INE02AR01019
ALOKINDS,Alok Industries Limited,EQ,01-Mar-19,INE294Z01018
ALPA,Alpa Laboratories Limited,EQ,24-Mar-21,INE930P01018
ALPHAGEO,Alphageo (India) Limited,EQ,12-Jul-04,INE372A01015
AMANTA,Amanta Healthcare Limited,EQ,10-Apr-17,INE071F01012
AMBER,Amber Enterprises India Limited,EQ,06-Sep-95,INE116A01032
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,04-Sep-17,INE346W01013
AMBIKCO,Ambika Cotton Mills Limited,EQ,14-Dec-11,INE702C01027
AMBUJACEM,Ambuja Cements Limited,EQ,20-Sep-11,INE901L01018
AMDIND,AMD Industries Limited,EQ,22-Jan-18,INE713T01028
AMJLAND,Amj Land Holdings Limited,EQ,10-Jan-96,INE437A01024
AMNPLST,Amines & Plasticizers Limited,EQ,11-Nov-19,INE126J01016
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,31-May-95,INE438A01022
ANANDRATHI,Anand Rathi Wealth Limited,EQ,28-Jan-15,INE451F01024
ANANTRAJ,Anant Raj Limited,EQ,27-Sep-02,INE266F01018
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,24-Aug-21,INE852O01025
ANDHRSUGAR,The Andhra Sugars Limited,EQ,04-Jul-08,INE877I01016
ANGELONE,Angel One Limited,EQ,05-Sep-03,INE885A01032
ANIKINDS,Anik Industries Limited,EQ,18-Oct-95,INE610C01014
ANMOL,Anmol India Limited,EQ,11-Jan-08,INE298I01015
ANTELOPUS,Antelopus Selan Energy Limited,EQ,15-Jun-21,INE420B01036
ANTGRAPHIC,Antarctica Limited,EQ,28-Mar-17,INE643K01018
ANTHEM,Anthem Biosciences Limited,EQ,14-Jun-16,INE109C01017
ANUHPHR,Anuh Pharma Limited,EQ,24-Apr-07,INE210C01013
ANUP,The Anup Engineering Limited,EQ,21-May-15,INE570D01018
ANURAS,Anupam Rasayan India Limited,EQ,23-Jan-20,INE025R01021
APARINDS,Apar Industries Limited,EQ,08-Feb-95,INE034A01011
APCOTEXIND,Apcotex Industries Limited,EQ,08-Mar-19,INE955V01021
APEX,Apex Frozen Foods Limited,EQ,26-Aug-15,INE034S01021
APLAPOLLO,APL Apollo Tubes Limited,EQ,18-Mar-98,INE439A01020
APLLTD,Alembic Pharmaceuticals Limited,EQ,29-Aug-11,INE228I01012
APOLLO,Apollo Micro Systems Limited,EQ,12-Mar-02,INE900C01027
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,12-Feb-20,INE073G01016
APOLLOPIPE,Apollo Pipes Limited,EQ,20-Sep-95,INE348A01023
APOLLOTYRE,Apollo Tyres Limited,EQ,29-Jun-11,INE365D01021
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,27-Jul-95,INE440A01010
APTECHT,Aptech Limited,EQ,14-Oct-10,INE442H01029
APTUS,Aptus Value Housing Finance India Limited,EQ,25-May-95,INE208A01029
ARCHIDPLY,Archidply Industries Limited,EQ,09-Dec-21,INE276G01015
ARCHIES,Archies Limited,EQ,31-May-95,INE021A01026
ARE&M,Amara Raja Energy & Mobility Limited,EQ,23-Aug-07,INE022I01019
ARENTERP,Rajdarshan Industries Limited,EQ,15-Nov-23,INE491J01022
ARIES,Aries Agro Limited,EQ,09-Feb-23,INE855F01042
ARIHANTCAP,Arihant Capital Markets Limited,EQ,14-Jun-16,INE991I01015
ARIHANTSUP,Arihant Superstructures Limited,EQ,25-Nov-09,INE563J01010
ARISINFRA,Arisinfra Solutions Limited,EQ,26-Feb-18,INE914M01019
ARKADE,Arkade Developers Limited,EQ,20-Mar-07,INE006I01046
ARMANFIN,Arman Financial Services Limited,EQ,01-Nov-04,INE386C01029
AROGRANITE,Aro Granite Industries Limited,EQ,04-May-01,INE203A01020
